property	entity
P5831 [usage example]	He ate a whole pizza!
P5831 [usage example]	Should we cook a frozen pizza for dinner?
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/a/a3/Eq_it-na_pizza-margherita_sep2005_sml.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/d/d3/Supreme_pizza.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/a/a8/Hand-tossed_pizza.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/0/08/Pizza_im_Pizzaofen_von_Maurizio.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/d/d3/Supreme_pizza.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/d/d1/Pepperoni_pizza.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/4/43/Pizza_al_taglio.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/b/bc/Pizza-oven.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/a/a4/Pizza.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/7/7c/Pizza_1_bg.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/c/c0/Pizza_with_tomatoes.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/4/49/Tk_pizza.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/a/a8/Hand-tossed_pizza.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/b/bd/Chicago-style_pizza.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/9/94/Pizza_8_bg.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/c/c0/Pizza_med_gorgonzola%2C_spinat_og_bacon%2C_March_2010.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/e/e9/Focaccia.png
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/1/15/Calzone04.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/8/8a/Pizza_%2823%29.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/a/af/Pizza_2_bg.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/3/38/En-us-pizza.ogg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/2/28/Bread_and_wine.svg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/d/d7/Pizza-2.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/d/d7/Peperoni_pizza.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/2/2e/Shrimp_pizza_with_pesto_and_pinenuts_pdphoto.org.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/3/39/Pizza_quattro_stagioni.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/d/d1/Hawaiian_pizza_1.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/1/10/Hot_pizza.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/2/2d/Neapolitan_pizza.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/9/95/Pizza_with_various_toppings.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/a/ae/Kartoffel_pizza_%28with_border%29.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/5/5c/US_Navy_070406-N-2959L-756_Members_of_USS_Ronald_Reagan_%28CVN_76%29_First_Class_Association_prepare_and_put_toppings_on_pizzas_in_the_galley_as_part_of_a_special_dinner_prepared_for_the_crew.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/b/b0/NewYorkSlices.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/b/b0/Pizza_tasting_in_the_Roosevelt_Room.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/d/d7/Pizza_baking_in_Wood-fired_oven.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/0/04/Jupiter_-_Flickr_-_Joe_Parks.jpg
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/f/f4/Pizza.png
P18 [image]	https://upload.wikimedia.org/wikipedia/commons/7/7a/It-pizza.ogg
